m,mean_ret_bps,std_ret_bps,mean_vol
213,0.04532217866839029,3.8877828025771737,102758.68618042227
214,0.11958710626032547,3.6823309377538047,97676.47696737044
215,-0.03922193644434128,3.8911482181422157,99194.54702495201
216,0.18172014301372547,4.112294524037477,98801.02975047985
217,0.10060053501615045,3.8885474140506404,100032.75024015369
218,-0.00979631471313015,3.6326475678222785,95790.61479346782
219,0.18607411898439655,3.36215970095108,94043.11335254562
220,0.19271554287110787,3.840282219219949,113446.21902017291
221,-0.1779919852108841,3.720980423231872,97389.98751200769
222,0.4271485462841265,3.6378024832167757,97042.2209414025
223,-0.046341658931171516,3.5959242503477613,96011.81075888568
224,0.09682895612030182,3.390889475769675,95532.52833813641
225,-0.3191995653224642,3.7771672758622756,98845.23919308357
226,0.3097884380692854,3.889886648162295,96274.61863592699
227,-0.2143723747502632,3.6223165682874767,99374.20268972142
228,-0.26517114809981723,3.8362380022741083,98571.02305475505
229,0.14169821298966018,3.6504398025393643,95168.41690682036
230,0.020705651553464093,3.6600992989643535,97647.20384615385
231,-0.1399695238893373,3.793548519382285,98479.28461538462
232,0.22534644408772514,3.578184344734948,201790.38942307694
233,-0.15938039435738818,3.5227550761382895,96342.37115384615
234,0.06341444581411093,3.3654620979015126,91867.93365384615
235,-0.04347145350315176,3.711443764121087,97505.8451923077
236,0.2039805892806755,3.752657993648926,93094.71538461538
237,-0.09258602466606007,3.4691191435562505,95062.66634615384
238,-0.2310567213584055,3.993406278291083,96348.31442307692
239,-0.27298018902948823,3.550051673701294,96457.71923076923
240,0.43093784508938277,4.46549244771488,111030.68142444658
241,-0.002821955188815255,4.000849164327617,102163.23387872954
242,-0.07344281887351901,3.8239082369205373,96072.10972088546
243,0.13344761443397007,3.617730449712997,99033.45953757226
244,0.13152971333035524,3.560383400148019,104471.32562620424
245,0.2023134403647376,3.7446796778594624,95296.37861271677
246,-0.11216940801538942,3.777833173529816,98739.38053949903
247,0.18309932072997692,3.6701678040029355,92692.84007707129
248,0.15654216473140348,3.6831782488096736,96812.90269749518
249,0.3214327486585647,3.596343484107403,98170.73025048169
250,0.18111274379687198,3.8603679967794173,103132.93159922928
251,-0.3669639902479485,3.695677533787807,98890.49614643546
252,0.06329684878384849,3.4791612460324393,94501.26782273603
253,-0.31494360955514605,3.530722457955627,93952.39595375722
254,0.08021289570422015,3.3226480025787355,92647.39691714836
255,-0.3475188499809778,3.5846156295725056,98867.99614643546
256,-0.006245816166676088,3.9623830529588284,96828.14065510598
257,-0.37456271235559424,3.659406019789265,96608.76107899807
258,-0.038361786932665065,3.6886812140748546,91872.704238921
259,0.014825236418929442,3.497969975506739,92817.54142581888
260,0.1113635114205047,3.59626571163275,98704.42967244702
261,0.1523105753279992,3.5515355887292306,94754.90558766859
262,-0.02594061139702115,3.491505658684606,92874.64836223506
263,-0.09193491313022634,3.4981197989139035,94763.82851637765
264,0.1783586694652829,3.3653821142039773,90814.95756991321
265,-0.2134005445733298,3.665957563623008,96536.37897782064
266,-0.10992171293467873,3.547932956137534,94379.8649951784
267,0.2595464100399124,3.5381865235085477,94801.16489874639
268,0.08052875624890293,3.3727155907068287,93488.86403085824
269,0.2248395432316208,3.306864981479532,94393.5168756027
270,-0.0717735748390337,5.1102063802412,141005.22372227578
271,0.018413880532069087,4.918910293711279,107801.71648987464
272,0.10197889159951617,4.342752454777454,118192.49951783993
273,0.02269068596227961,4.087017333405752,108889.32690453231
274,-0.2937645452749232,3.9613018794274413,107006.54773384763
275,-0.1854769315398365,4.173668171004752,111663.17839922855
276,-0.05537184548195497,3.9959591901522242,162033.03085824495
277,0.033215440699754385,4.2398502065770876,112316.10414657666
278,0.05399919066620152,3.9342998068604285,103602.58937198068
279,0.06537678687857891,3.6514325941404544,101247.67149758454
280,-0.1180948321482128,3.9331657764523666,107223.9884057971
281,-0.3966294416182108,3.967191677973398,103004.53140096618
282,0.03940301246038497,3.6754235840444323,104664.40966183574
283,-0.0881450077562664,3.802694080677173,98022.85507246378
284,-0.13394709246953612,3.680924322088344,99169.1806763285
285,0.23265949959729304,4.191014121196631,110608.68792270531
286,-0.0665990865794733,3.7335685380435004,103738.37971014493
287,0.10798300154148932,3.6365190328694945,145596.47536231883
288,0.3668737410447467,3.84643714304636,103430.71276595745
289,-0.13330233951562712,3.715335781661938,181883.74927395934
290,-0.13587281551113248,3.7430974624980147,103555.5004840271
291,-0.1905126822818077,3.7630819834282465,103536.83155856728
292,0.13778779441803557,3.785895725281969,106048.2296511628
293,0.06810002208375136,3.745803794475694,103280.89341085272
294,-0.14416175514120763,3.4233780806967107,101447.1007751938
295,-0.14127425915496214,3.746621358430873,103962.3488372093
296,0.16132318181963434,3.7141167862293756,105989.63565891473
297,0.07525773278181948,3.4848456795318468,103947.4011627907
298,0.2646368053097152,3.5779770680768865,104055.17441860466
299,-0.2564690767109125,3.230086915436415,101467.51453488372
300,-0.10306591732888376,4.3475450723210285,117063.58971871968
301,0.06621546102509135,4.231663059970771,116009.62718446602
302,-0.11871596949467395,3.834452320856187,118943.84077669903
303,-0.13324408027762275,3.755129003469468,108986.27475728156
304,0.12046348757591785,3.7677431210400325,109059.50534499514
305,-0.04773918214969318,4.11451539756652,112536.6472303207
306,-0.12962241795769847,4.027557129189365,109578.1098153547
307,0.38011184588951547,3.96944982551327,110062.83673469388
308,0.29361330803637875,3.9663658236941064,109916.02623906705
309,0.17225574985059877,3.593399404322697,103125.00194363459
310,-0.02480797056029791,4.014340606850337,113481.30806608357
311,0.2197752077951328,3.8015631570046526,109490.08066083577
312,-0.279730885832512,4.093578142341763,113210.80466472304
313,-0.04516833417780612,3.735644135648076,105587.68804664724
314,0.28049228201055376,3.4800330973462206,103279.00680933852
315,0.09891687885684526,3.8828216305164425,117207.61441090555
316,0.0606515279165921,3.9581443851613973,102825.71567672833
317,-0.3100803673495437,3.8366726275572205,106712.64362220059
318,0.10128729056763654,3.8907135514661517,110006.59104186953
319,-0.07348700058689542,3.596715676430132,104738.11392405063
320,-0.19598022884141825,3.896096503314016,110694.81596884129
321,0.011329015387899908,4.086847957052444,105873.53067185979
322,0.3348822158611633,3.7208155836270707,112609.43816942551
323,-0.3481705833266093,3.8263461675494432,106424.04186952289
324,0.36722509753136395,3.46422468237987,108910.33495618305
325,0.17662460145106182,3.9363796526028576,111173.95715676728
326,0.14498078903402123,3.8523286756943627,112697.21129503408
327,-0.10675429386945148,3.571147677993263,111268.65822784811
328,0.18979573375543898,3.567251214435683,105151.73099415205
329,-0.12505160929459053,3.4502604144248052,109152.4171539961
330,0.42749806493299947,4.478534962289759,147181.11988304093
331,-0.05810124460702483,4.4926056079324805,113817.97368421052
332,0.05498615572008421,4.340677708493537,125045.25170731707
333,-0.3869065768110175,4.026627348175626,116069.12975609757
334,-0.13486574629775747,3.7918898998755464,121532.60292682926
335,0.03969984587210496,3.9076587246520895,125266.76878048781
336,-0.4120489320438498,4.0794962083186865,118851.44975609756
337,-0.11738195219704738,3.810492918023454,117332.42048780488
338,0.0427464296909736,3.77889717265456,118173.70731707317
339,0.03206053155957564,3.8415657281531987,121543.708984375
340,0.07770559319538102,4.071923308307163,126996.232421875
341,-0.12991974155100403,3.790652284651623,126171.5869140625
342,0.28433942021890307,3.9331912543047496,127705.8154296875
343,-0.1318860768879872,3.790576263640311,121796.2568359375
344,0.0995921726515761,3.8207817421273074,121861.4306640625
345,0.3793661653404758,4.142214202190463,137532.2763671875
346,0.057521422146291065,4.043844329426458,129811.7099609375
347,-0.11960009922459976,4.053909006036543,126003.373046875
348,0.3381991799588876,3.9119743705870955,125403.7724609375
349,0.2536568275367462,3.6242738296341566,127550.0586510264
350,-0.179348981011439,4.291108706370736,136055.5102639296
351,0.1467422757553834,3.993686387315097,131270.88356164383
352,0.22640745896885217,3.711331286096344,130655.80313418218
353,0.18098582214172962,3.8258412506660826,129387.71890303624
354,-0.05682816832146755,3.4679020212424696,123519.51028403526
355,-0.268840082826144,3.867092815997928,135085.88834476005
356,0.09682015820707998,3.8241794881339772,130667.15882352942
357,0.1940520524538257,3.8778700408869082,130661.21274509803
358,-0.06250903659129135,3.911743380918311,132541.62450980392
359,-0.15852020651781346,3.657489083511129,133637.98235294118
360,-0.0209284637021155,4.6252216907170896,158389.7519607843
361,0.17961863574402617,4.076784653211301,149433.6725490196
362,0.11881642738046197,4.461939540799765,152899.8705882353
363,-0.11098029481112666,4.160436234936816,148636.20098039217
364,0.3664603509336458,3.8599640057235556,147673.47647058824
365,-0.3120522603065089,3.9812365434155264,152938.5862745098
366,-0.2762843050144976,4.082028495474069,154594.86176470589
367,-0.13906658141797618,4.038461506587559,167550.93431372548
368,-0.07259226287837685,3.943488744807323,154753.11511511513
369,0.03793902524356061,3.7911151867277426,151731.2735470942
370,0.4070160710300034,4.595210137853988,170219.0906344411
371,-0.1950054868240834,4.082803177922172,161579.36391129033
372,0.0996731783581228,4.090827463609603,165358.2328629032
373,-0.27016341326764376,4.109371003186206,164515.60847628658
374,-0.25990039366482276,4.2975472454416295,169371.66397578205
375,-0.06132446052474347,4.747605052314918,189729.8415741675
376,-0.14242688895967348,4.555666625933603,189182.41658240647
377,0.16163076156364947,4.321538069087445,183845.4216380182
378,-0.0867308423684808,4.376548772217781,189343.9555106168
379,-0.430866991410493,4.4252771312595085,222195.55712841253
380,0.48811030068385186,9.597364994320305,439108.15587044536
381,-0.5985039363493421,5.322279745837402,268595.75708502025
382,0.290608532848784,5.238369295673979,269518.79635258357
383,-0.5238195505095821,5.066729708727891,275992.49288617884
384,0.18486602842837302,7.9424577799008445,414904.8819938962
385,0.007304480342749063,7.86699943997164,430873.48163265304
386,0.1381841321629346,5.050644554572955,358246.7773237998
387,0.7272560518403828,4.465466036120866,399307.9465020576
388,0.6564286795915196,4.887223540731907,508228.9519832985
389,0.21007413497535335,7.861911189499063,1171874.9331872945
