label,interval,threshold,strat_sharpe,strat_sortino,strat_max_drawdown,strat_cagr,strat_calmar,strat_ann_return,strat_ann_vol,strat_total_return,strat_final_capital,strat_n_trades,strat_exposure,strat_avg_holding_min,strat_trades_per_day,strat_turnover_per_day,strat_n_days,strat_alpha_ann,strat_beta,bh_sharpe,bh_sortino,bh_max_drawdown,bh_cagr,bh_calmar,bh_ann_return,bh_ann_vol,bh_total_return,bh_final_capital,bh_n_trades,bh_exposure,bh_avg_holding_min,bh_trades_per_day,bh_turnover_per_day,bh_n_days,bh_alpha_ann,bh_beta,sharpe_edge,dd_ok,beats_bh,exposure,auc,effective_n,n_labelled,pbo
15min@0.55,15min,0.55,-6.358408554591449,-8.54563543414176,0.9362472659563809,-0.49846735915809826,-0.5324099490415191,-0.6835931244416475,0.11380097995105021,-0.9362015068984771,6379.849310152285,1025,0.10184086647020552,2.59609756097561,0.9579439252336449,1.9158878504672898,1070,-0.7060619839523051,0.13922335237045003,0.41719748797684253,0.41015975438997965,0.34492436663557763,0.12626663817785677,0.36607050817972814,0.16118939715216393,0.29048448431427504,0.6067274782322176,160672.74782322175,1,0.9999617283478128,26128.0,0.0009345794392523365,0.0009345794392523365,1070,-3.6560296058783435e-06,0.9999999942664535,-6.775606042568292,False,False,0.10184086647020552,0.4984500190218431,5350.446998750471,26129,0.0
15min@0.58,15min,0.58,-4.544717510661152,-6.333803986221065,0.7622529506011719,-0.30098503461166815,-0.3948624067303222,-0.3543234840494817,0.0867652352702812,-0.7602155687041136,23978.443129588646,541,0.04933215966933292,2.3826247689463957,0.505607476635514,1.011214953271028,1070,-0.3678926804980308,0.08409243608408451,0.41719748797684253,0.41015975438997965,0.34492436663557763,0.12626663817785677,0.36607050817972814,0.16118939715216393,0.29048448431427504,0.6067274782322176,160672.74782322175,1,0.9999617283478128,26128.0,0.0009345794392523365,0.0009345794392523365,1070,-3.6560296058783435e-06,0.9999999942664535,-4.961914998637995,False,False,0.04933215966933292,0.4984500190218431,5350.446998750471,26129,0.0
1h@0.50,1h,0.5,-2.6286153179730567,-2.9803063020195664,0.9060599445314227,-0.4406274652405292,-0.48631160432591886,-0.5551920400907007,0.22642797370200876,-0.8923326009466066,10766.739905339336,821,0.6053469127943985,4.633373934226553,0.7730696798493408,1.5461393596986817,1062,-0.6533506341522372,0.5874703363370861,0.42786692122754455,0.43452751269295414,0.3327543932547811,0.13077852339523166,0.393018172099979,0.1665161442376324,0.2956904073693269,0.6024219391014556,160242.19391014555,1,0.9998408656906429,6283.0,0.0009416195856873823,0.0009416195856873823,1062,-0.0003876852918907396,0.9999631742672801,-3.0564822392006015,False,False,0.6055060471037556,0.4949686148242105,2003.2369047618395,6284,0.38571428571428573
1h@0.52,1h,0.52,-2.925808344488499,-3.3729479260063315,0.9131138985469017,-0.45249975629730843,-0.49555675038722014,-0.5798202349492854,0.21184580873756603,-0.9008389085135291,9916.109148647087,835,0.5281667727562063,3.9748502994011976,0.7862523540489642,1.5725047080979284,1062,-0.6645187923371065,0.506817165085962,0.42786692122754455,0.43452751269295414,0.3327543932547811,0.13077852339523166,0.393018172099979,0.1665161442376324,0.2956904073693269,0.6024219391014556,160242.19391014555,1,0.9998408656906429,6283.0,0.0009416195856873823,0.0009416195856873823,1062,-0.0003876852918907396,0.9999631742672801,-3.353675265716044,False,False,0.5281667727562063,0.4949686148242105,2003.2369047618395,6284,0.38571428571428573
1h@0.55,1h,0.55,-3.4147201816702077,-4.037013432606523,0.9219751093443839,-0.4699207441208806,-0.5096891872222462,-0.6161200453452985,0.19214460056413085,-0.9124078909362048,8759.210906379521,810,0.4059516231699554,3.1493827160493826,0.7627118644067796,1.5254237288135593,1062,-0.6856433589085844,0.4158782563877523,0.42786692122754455,0.43452751269295414,0.3327543932547811,0.13077852339523166,0.393018172099979,0.1665161442376324,0.2956904073693269,0.6024219391014556,160242.19391014555,1,0.9998408656906429,6283.0,0.0009416195856873823,0.0009416195856873823,1062,-0.0003876852918907396,0.9999631742672801,-3.8425871028977525,False,False,0.4059516231699554,0.4949686148242105,2003.2369047618395,6284,0.38571428571428573
1h@0.58,1h,0.58,-3.3103105821477588,-3.985982424045065,0.8830465015543689,-0.41280337614406915,-0.46747637346101073,-0.5180572239269597,0.1685815303665214,-0.8702926801167001,12970.731988329986,670,0.2988542329726289,2.8029850746268656,0.6308851224105462,1.2617702448210923,1062,-0.5722048458773545,0.32386670807885437,0.42786692122754455,0.43452751269295414,0.3327543932547811,0.13077852339523166,0.393018172099979,0.1665161442376324,0.2956904073693269,0.6024219391014556,160242.19391014555,1,0.9998408656906429,6283.0,0.0009416195856873823,0.0009416195856873823,1062,-0.0003876852918907396,0.9999631742672801,-3.7381775033753035,False,False,0.2988542329726289,0.4949686148242105,2003.2369047618395,6284,0.38571428571428573
1d@0.50,1d,0.5,0.3379874164511909,0.4144275611444939,0.2281203700417739,0.09221742354811391,0.404248965277528,0.10867299113546376,0.20318209434102086,0.442159085615472,144215.9085615472,101,0.5210325047801148,5.396039603960396,0.0965583173996176,0.1931166347992352,1046,0.033224269283549664,0.5151895659970197,0.36940541961728074,0.36949630752305496,0.33319181704906686,0.11057259408758013,0.3318586724814339,0.14532617147200436,0.28512351437920574,0.5454537028294142,154545.3702829414,1,0.9990439770554493,1045.0,0.0009560229445506692,0.0009560229445506692,1046,-0.0011960727952748753,1.0000749506567912,-0.031418003166089836,True,False,0.5210325047801148,0.4782558827882197,231.72527777777532,1046,0.9285714285714286
1d@0.52,1d,0.52,0.32293185021560583,0.41334004428191956,0.23963085070057716,0.08782470728335223,0.36650000209318084,0.10294762565319036,0.19492541727043436,0.418236071060601,141823.6071060601,104,0.49521988527724664,4.980769230769231,0.0994263862332696,0.1988527724665392,1046,0.03387171761011916,0.47169635990567155,0.36940541961728074,0.36949630752305496,0.33319181704906686,0.11057259408758013,0.3318586724814339,0.14532617147200436,0.28512351437920574,0.5454537028294142,154545.3702829414,1,0.9990439770554493,1045.0,0.0009560229445506692,0.0009560229445506692,1046,-0.0011960727952748753,1.0000749506567912,-0.04647356940167491,True,False,0.49521988527724664,0.4782558827882197,231.72527777777532,1046,0.9285714285714286
1d@0.55,1d,0.55,0.34508483602638357,0.453805287556943,0.1808301695140724,0.09158477080571359,0.5064684231166766,0.10529544116417565,0.18921561989233135,0.438694875012797,143869.4875012797,102,0.45793499043977054,4.696078431372549,0.09751434034416825,0.1950286806883365,1046,0.04057578573656033,0.44200664714387805,0.36940541961728074,0.36949630752305496,0.33319181704906686,0.11057259408758013,0.3318586724814339,0.14532617147200436,0.28512351437920574,0.5454537028294142,154545.3702829414,1,0.9990439770554493,1045.0,0.0009560229445506692,0.0009560229445506692,1046,-0.0011960727952748753,1.0000749506567912,-0.02432058359089717,True,False,0.45793499043977054,0.4782558827882197,231.72527777777532,1046,0.9285714285714286
1d@0.58,1d,0.58,0.23438744368765851,0.3113716937712269,0.22272466993122197,0.06877510989950464,0.3087898162369826,0.08347955278513781,0.18550290963144814,0.3179568758639748,131795.6875863975,97,0.43021032504780116,4.639175257731959,0.09273422562141491,0.18546845124282982,1046,0.021861433735208314,0.4207150958667048,0.36940541961728074,0.36949630752305496,0.33319181704906686,0.11057259408758013,0.3318586724814339,0.14532617147200436,0.28512351437920574,0.5454537028294142,154545.3702829414,1,0.9990439770554493,1045.0,0.0009560229445506692,0.0009560229445506692,1046,-0.0011960727952748753,1.0000749506567912,-0.13501797592962222,True,False,0.43021032504780116,0.4782558827882197,231.72527777777532,1046,0.9285714285714286
