label,threshold,sizing,periods_per_year,symbol,cost_label,round_trip_bps,strat_sharpe_ratio,strat_sortino_ratio,strat_max_drawdown,strat_cagr,strat_calmar_ratio,strat_win_rate,strat_profit_factor,strat_total_trades,strat_initial_capital,strat_final_capital,strat_total_return,strat_periods_per_year,strat_alpha,strat_beta,strat_exposure,strat_n_entries,strat_trades_per_day,strat_turnover_per_day,strat_n_days,bh_sharpe_ratio,bh_sortino_ratio,bh_max_drawdown,bh_cagr,bh_calmar_ratio,bh_win_rate,bh_profit_factor,bh_total_trades,bh_initial_capital,bh_final_capital,bh_total_return,bh_periods_per_year,bh_alpha,bh_beta,bh_exposure,bh_n_entries,bh_trades_per_day,bh_turnover_per_day,bh_n_days,sharpe_edge,beats_benchmark
MSFT/high_10bp,0.5,binary,98280,MSFT,high_10bp,20.0,-8.93886363990365,-10.40346451776346,0.7388051969212159,-0.6528184942061108,-0.8836138361324027,0.0,0.0,0,100000.0407000407,27305.59829310008,-0.7269441282028501,98280,-1.0381252464961142,0.17054337835497935,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.39740247268444157,-0.39957941365685584,0.35495137470796606,-0.10743564740393396,-0.3026770849734726,0.0,0.0,0,100000.0407000407,86982.8562191538,-0.13017179182889682,98280,-0.0008162685887642022,0.9999822800603919,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,-8.541461167219207,False
MSFT/lab_default_15bp,0.5,binary,98280,MSFT,lab_default_15bp,30.0,-12.748535155297935,-14.347374734784601,0.8627612132600692,-0.7962286770933454,-0.9228841826172032,0.0,0.0,0,100000.0407000407,14200.432294604765,-0.857995734849746,98280,-1.5703065465514339,0.17060810075219962,0.11779388350802707,653,2.09967845659164,4.19935691318328,311.0,-0.39883424360938274,-0.40101799273174776,0.3549513747079791,-0.10779909769550222,-0.30370102886399375,0.0,0.0,0,100000.0407000407,86939.39795037777,-0.13060637433978184,98280,-0.0012244028831840243,0.9999734200905894,0.9999917075759586,1,0.003215434083601286,0.003215434083601286,311.0,-12.349700911688553,False
NVDA/frictionless,0.5,binary,98280,NVDA,frictionless,0.0,-0.016404266473482716,-0.01764111556534655,0.4394517342203898,-0.03910816381534887,-0.08899308108256482,0.0,0.0,0,100000.0407000407,95222.7363599247,-0.04777302395751981,98280,-0.1711449713661553,0.6575651036462591,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5769864492613178,0.5718632296243773,0.428890607536285,0.2216337570517255,0.5167605752079214,0.0,0.0,0,100000.0407000407,127844.6361133137,0.27844584080515933,98280,-1.402701807246172e-14,0.9999999999999998,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-0.5933907157348005,False
NVDA/ultra_low_1bp,0.5,binary,98280,NVDA,ultra_low_1bp,2.0,-0.5947585422375028,-0.6381018609245129,0.4745810312780832,-0.2294732714012232,-0.48352811485792857,0.0,0.0,0,100000.0407000407,72624.18580985849,-0.27375843748202655,98280,-0.39192457524440083,0.6575881064797157,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5768150996415418,0.5716916241593892,0.4288906075362778,0.22153503834772437,0.5165304029862342,0.0,0.0,0,100000.0407000407,127831.95945739656,0.27831907429758207,98280,-8.05215351446001e-05,0.9999968727691065,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-1.1715736418790446,False
NVDA/low_2bp,0.5,binary,98280,NVDA,low_2bp,4.0,-1.1728090369363486,-1.256671879001123,0.5146080898573361,-0.38213823186795504,-0.7425810814087562,0.0,0.0,0,100000.0407000407,55387.29143556079,-0.44612731107080184,98280,-0.6127041791228539,0.657611109313174,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5766437277494525,0.5715200186941466,0.42889060753627845,0.221436317832018,0.5163002265403712,0.0,0.0,0,100000.0407000407,127819.28280146046,0.2781923077898152,98280,-0.00016104307039646316,0.9999937455382137,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-1.7494527646858011,False
NVDA/mid_5bp,0.5,binary,98280,NVDA,mid_5bp,10.0,-2.9025830567572064,-3.122893232673117,0.7778370333112716,-0.6814742076151097,-0.8761143767018356,0.0,0.0,0,100000.0407000407,24565.5249585934,-0.7543448503958119,98280,-1.275042990757899,0.6576801178135425,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5761294786262383,0.5710052022987078,0.4288906075362901,0.22114014541359106,0.5156096718552633,0.0,0.0,0,100000.0407000407,127781.25283367363,0.2778120082667288,98280,-0.0004026076760151121,0.9999843638455358,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-3.478712535383445,False
NVDA/high_10bp,0.5,binary,98280,NVDA,high_10bp,20.0,-5.755940261507038,-6.137245088947101,0.9417078987205799,-0.8944702876693755,-0.9498383616454931,0.0,0.0,0,100000.0407000407,6333.109613516047,-0.936668929640611,98280,-2.3789410101497968,0.657795131980827,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5752719530419123,0.5701471749730214,0.4288906075362791,0.2206464884652073,0.5144586628573888,0.0,0.0,0,100000.0407000407,127717.86955403227,0.2771781757282854,98280,-0.0008052153520247715,0.9999687276910734,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-6.33121221454895,False
NVDA/lab_default_15bp,0.5,binary,98280,NVDA,lab_default_15bp,30.0,-8.546601292669203,-9.058615055063784,0.9848084065622293,-0.9650566360278181,-0.9799435398776085,0.0,0.0,0,100000.0407000407,1631.5982438196659,-0.9836840242024121,98280,-3.4828390295416725,0.6579101461481098,0.5180188397625128,1355,4.356913183279743,8.710610932475884,311.0,0.5744138748274091,0.5692891476473162,0.4288906075362838,0.2201527861799244,0.5133075481521233,0.0,0.0,0,100000.0407000407,127654.4862743895,0.2765443431898278,98280,-0.0012078230280434632,0.9999530915366108,0.9999917078510067,1,0.003215434083601286,0.003215434083601286,311.0,-9.121015167496612,False
AMZN/frictionless,0.5,binary,98280,AMZN,frictionless,0.0,0.1523071609517637,0.17493420001855536,0.14017207291234066,0.051587280771433486,0.3680282362927928,0.0,0.0,0,100000.0407000407,106366.56996029752,0.06366526669077888,98280,0.0660092122036647,0.28091251609005363,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06608265798980117,-0.06641809764684194,0.32617122126131365,-0.05355908504600482,-0.16420542817631265,0.0,0.0,0,100000.0407000407,93468.67209392163,-0.06531365947850465,98280,-3.524704522696288e-14,0.9999999999999994,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,0.21838981894156487,True
AMZN/ultra_low_1bp,0.5,binary,98280,AMZN,ultra_low_1bp,2.0,-0.8211874645558911,-0.9467733795509629,0.25951852247599194,-0.1334687413894412,-0.5142937009507227,0.0,0.0,0,100000.0407000407,83880.16071260553,-0.1611987342664012,98280,-0.12754792106109644,0.2808807948555144,0.19970479215211495,1188,3.819935691318328,7.636655948553055,311.0,-0.06630004852261735,-0.06663645415864439,0.32617122126131576,-0.053635940409028304,-0.16444105706694848,0.0,0.0,0,100000.0407000407,93459.35887756443,-0.06540679160417184,98280,-8.14661152019283e-05,0.9999979074819682,0.9999917076447223,1,0.003215434083601286,0.003215434083601286,311.0,-0.7548874160332737,False
