strategy,cost,rt_bps,strat_sharpe,bh_sharpe,edge,strat_maxDD,bh_maxDD,strat_totret,bh_totret,n_trades,trades/day,exposure,beats_bh
naive_reversal_1bar,high_10bp,20.0,-193.09869087295107,0.3962209695611915,-193.49491184251227,1.0,0.34886290777342716,-1.0,0.5947537658753506,102512,95.6268656716418,0.48556212872200427,False
naive_reversal_1bar,lab_default_15bp,30.0,-239.11851333853735,0.39580451926245896,-239.51431785779982,1.0,0.3488629077734266,-1.0,0.5939571855726715,102512,95.6268656716418,0.48556212872200427,False
naive_momentum_1bar,frictionless,0.0,-0.019601525638779097,0.39705407862154823,-0.41665560426032733,0.47732760742206515,0.3488629077734288,0.06487659068938578,0.5963489183293718,102625,95.73227611940298,0.4917928345652896,False
naive_momentum_1bar,ultra_low_1bp,2.0,-24.26618588602619,0.3969707616535523,-24.66315664767974,0.9999999987101963,0.3488629077734302,-0.9999999987016104,0.5961892954093759,102625,95.73227611940298,0.4917928345652896,False
naive_momentum_1bar,low_2bp,4.0,-48.09788877759376,0.39688744600680753,-48.49477622360057,1.0,0.34886290777343226,-1.0,0.5960296964301541,102625,95.73227611940298,0.4917928345652896,False
naive_momentum_1bar,mid_5bp,10.0,-113.57809382648344,0.39663750709108453,-113.97473133357452,1.0,0.3488629077734289,-1.0,0.5955510430857864,102625,95.73227611940298,0.4917928345652896,False
naive_momentum_1bar,high_10bp,20.0,-193.01345661235237,0.3962209695611915,-193.40967758191357,1.0,0.34886290777342716,-1.0,0.5947537658753506,102625,95.73227611940298,0.4917928345652896,False
naive_momentum_1bar,lab_default_15bp,30.0,-239.2956877161708,0.39580451926245896,-239.69149223543326,1.0,0.3488629077734266,-1.0,0.5939571855726715,102625,95.73227611940298,0.4917928345652896,False
"sma_trend(5,30)",frictionless,0.0,-0.3067954881186287,0.39705407862154823,-0.703849566740177,0.3365277980687013,0.3488629077734288,-0.16177518717723538,0.5963489183293718,10012,9.33955223880597,0.5119018042726948,False
"sma_trend(5,30)",ultra_low_1bp,2.0,-2.6951564624137805,0.3969707616535523,-3.0921272240673328,0.9049942598949832,0.3488629077734302,-0.8868192228268805,0.5961892954093759,10012,9.33955223880597,0.5119018042726948,False
"sma_trend(5,30)",low_2bp,4.0,-5.075213790313155,0.39688744600680753,-5.472101236319963,0.9867003555675604,0.34886290777343226,-0.9847178369556394,0.5960296964301541,10012,9.33955223880597,0.5119018042726948,False
"sma_trend(5,30)",mid_5bp,10.0,-12.088287967716154,0.39663750709108453,-12.484925474807238,0.9999638118069969,0.3488629077734289,-0.9999623797875745,0.5955510430857864,10012,9.33955223880597,0.5119018042726948,False
"sma_trend(5,30)",high_10bp,20.0,-22.954177263803423,0.3962209695611915,-23.350398233364615,0.9999999983238129,0.34886290777342716,-0.9999999983115762,0.5947537658753506,10012,9.33955223880597,0.5119018042726948,False
"sma_trend(5,30)",lab_default_15bp,30.0,-32.31044629025743,0.39580451926245896,-32.706250809519894,0.9999999999999247,0.3488629077734266,-0.9999999999999242,0.5939571855726715,10012,9.33955223880597,0.5119018042726948,False
